delay,freq,condition,trials.textbox.text,,,
0.7,1000,exp,625,,,
0.4,1000,exp,777,,,
0.4,1000,exp,283,,,
0.1,1000,exp,983,,,
0.1,1000,exp,293,,,
0.7,1000,exp,634,,,
0.7,1000,exp,928,,,
0.7,1000,exp,653,,,
0.4,1000,exp,283,,,
0.1,1000,exp,172,,,
0.1,1000,exp,276,,,
0.4,1000,exp,284,,,
0.7,1000,exp,727,,,
0.1,1000,exp,938,,,
0.7,1000,exp,473,,,
0.1,1000,exp,273,,,
0.4,1000,exp,777,,,
0.7,1000,exp,543,,,
0.4,1000,exp,647,,,
0.4,1000,exp,193,,,
0.4,1000,exp,736,,,
0.4,1000,exp,374,,,
0.7,1000,exp,728,,,
0.7,1000,exp,472,,,
0.1,1000,exp,847,,,
0.1,1000,exp,118,,,
0.1,1000,exp,273,,,
0.7,1000,exp,910,,,
0.1,1000,exp,629,,,
0.4,1000,exp,298,,,
0.1,1000,exp,283,,,
0.4,1000,exp,386,,,
0.4,1000,exp,882,,,
0.7,1000,exp,364,,,
0.1,1000,exp,294,,,
0.7,1000,exp,727,,,
0.7,1000,exp,373,,,
0.7,1000,exp,828,,,
0.7,1000,exp,569,,,
0.1,1000,exp,908,,,
0.1,1000,exp,203,,,
0.4,1000,exp,730,,,
0.4,1000,exp,228,,,
0.4,1000,exp,585,,,
0.1,1000,exp,198,,,
0.7,1000,exp,818,,,
0.7,1000,exp,172,,,
0.4,1000,exp,732,,,
0.1,1000,exp,292,,,
0.4,1000,exp,822,,,
0.4,1000,exp,282,,,
0.7,1000,exp,510,,,
0.7,1000,exp,902,,,
0.1,1000,exp,292,,,
0.1,1000,exp,309,,,
0.1,1000,exp,345,,,
0.7,1000,exp,500,,,
0.1,1000,exp,292,,,
0.4,1000,exp,810,,,
0.7,1000,exp,384,,,
0.4,1000,exp,202,,,
0.4,1000,exp,283,,,
0.7,1000,exp,950,,,
0.1,1000,exp,101,,,
0.7,1000,exp,384,,,
0.4,1000,exp,938,,,
0.1,1000,exp,837,,,
0.4,1000,exp,749,,,
0.1,1000,exp,293,,,
0.1,1000,exp,564,,,
0.4,1000,exp,928,,,
0.7,1000,exp,374,,,
0.7,1000,exp,839,,,
0.4,1000,exp,293,,,
0.1,1000,exp,666,,,
0.7,1000,exp,390,,,
0.4,1000,exp,119,,,
0.7,1000,exp,302,,,
0.1,1000,exp,405,,,
0.4,1000,exp,603,,,
0.1,1000,exp,684,,,
0.7,1000,exp,228,,,
0.7,1000,exp,203,,,
0.4,1000,exp,229,,,
0.7,1000,exp,192,,,
0.1,1000,exp,726,,,
0.1,1000,exp,384,,,
0.7,1000,exp,700,,,
0.1,1000,exp,537,,,
0.4,1000,exp,910,,,
0.4,1000,exp,263,,,
0.7,1000,exp,729,,,
0.1,1000,exp,228,,,
0.1,1000,exp,287,,,
0.7,1000,exp,273,,,
0.4,1000,exp,283,,,
0.7,1000,exp,937,,,
0.1,1000,exp,128,,,
0.4,1000,exp,836,,,
0.4,1000,exp,503,,,
0.7,1000,exp,110,,,
0.4,1000,exp,837,,,
0.4,1000,exp,735,,,
0.1,1000,exp,910,,,
0.1,1000,exp,928,,,
0.7,1000,exp,736,,,
0.7,1000,exp,382,,,
0.4,1000,exp,384,,,
0.1,1000,exp,846,,,
0.7,1000,exp,877,,,
0.7,1000,exp,499,,,
0.4,1000,exp,509,,,
0.1,1000,exp,287,,,
0.1,1000,exp,666,,,
0.4,1000,exp,900,,,
0.4,1000,exp,726,,,
0.1,1000,exp,700,,,
0.7,1000,exp,748,,,
0.4,1000,exp,100,,,
0.4,1000,exp,89,,,
0.7,1000,exp,638,,,
0.1,1000,exp,273,,,
0.7,1000,exp,638,,,
0.1,1000,exp,374,,,
0.7,1000,exp,34,,,
0.4,1000,exp,847,,,
0.1,1000,exp,229,,,
0.4,1000,exp,827,,,
0.1,1000,exp,287,,,
0.1,1000,exp,629,,,
0.1,1000,exp,900,,,
0.7,1000,exp,827,,,
0.7,1000,exp,937,,,
0.7,1000,exp,753,,,
0.4,1000,exp,847,,,
0.4,1000,exp,829,,,
0.7,1000,exp,273,,,
0.1,1000,exp,900,,,
0.4,1000,exp,837,,,
0.4,1000,exp,938,,,
0.7,1000,exp,39,,,
0.1,1000,exp,173,,,
0.4,1000,exp,889,,,
0.1,1000,exp,283,,,
0.7,1000,exp,736,,,
0.7,1000,exp,119,,,
0.1,1000,exp,609,,,
0.4,1000,exp,384,,,
0.1,1000,exp,293,,,
0.4,1000,exp,394,,,
0.7,1000,exp,100,,,
0.7,1000,exp,283,,,
0.1,1000,exp,283,,,
0.4,1000,exp,746,,,
0.7,1000,exp,928,,,
0.1,1000,exp,90,,,
0.1,1000,exp,609,,,
0.7,1000,exp,574,,,
0.1,1000,exp,555,,,
0.4,1000,exp,378,,,
0.4,1000,exp,827,,,
0.4,1000,exp,447,,,
0.7,1000,exp,900,,,
0.7,1000,exp,118,,,
0.4,1000,exp,374,,,
0.4,1000,exp,727,,,
0.7,1000,exp,657,,,
0.1,1000,exp,100,,,
0.1,1000,exp,800,,,
0.7,1000,exp,940,,,
0.1,1000,exp,117,,,
0.4,1000,exp,283,,,
0.4,1000,exp,738,,,
0.1,1000,exp,874,,,
0.7,1000,exp,728,,,
0.7,1000,exp,909,,,
0.1,1000,exp,898,,,
0.4,1000,exp,837,,,
0.4,1000,exp,555,,,
0.1,1000,exp,280,,,
0.7,1000,exp,370,,,
0.4,1000,exp,273,,,
0.1,1000,exp,500,,,
0.7,1000,exp,800,,,
0.7,1000,exp,880,,,
0.7,1000,exp,998,,,
0.4,1000,exp,729,,,
0.4,1000,exp,373,,,
0.1,1000,exp,374,,,
0.1,1000,exp,609,,,
0.4,1000,exp,182,,,
0.1,1000,exp,297,,,
0.4,1000,exp,445,,,
0.1,1000,exp,229,,,
0.1,1000,exp,273,,,
0.4,1000,exp,849,,,
0.7,1000,exp,828,,,
0.7,1000,exp,393,,,
0.7,1000,exp,392,,,
0.1,400,unexp,235,,,
0.7,400,unexp,827,,,
0.4,400,unexp,938,,,
0.1,400,unexp,463,,,
0.4,400,unexp,290,,,
0.7,400,unexp,276,,,
0.4,400,unexp,376,,,
0.7,400,unexp,746,,,
0.1,400,unexp,657,,,
0.7,400,unexp,394,,,
0.4,400,unexp,384,,,
0.1,400,unexp,857,,,
0.1,400,unexp,928,,,
0.7,400,unexp,253,,,
0.4,400,unexp,928,,,
0.7,400,unexp,999,,,
0.4,400,unexp,163,,,
0.1,400,unexp,253,,,
0.4,400,unexp,777,,,
0.7,400,unexp,87,,,
0.1,400,unexp,253,,,
0.4,400,unexp,273,,,
0.7,400,unexp,899,,,
0.1,400,unexp,298,,,
0.4,400,unexp,876,,,
0.7,400,unexp,359,,,
0.1,400,unexp,276,,,
0.4,400,unexp,273,,,
0.1,400,unexp,298,,,
0.7,400,unexp,690,,,
0.1,400,unexp,837,,,
0.7,400,unexp,374,,,
0.4,400,unexp,228,,,
0.4,400,unexp,297,,,
0.1,400,unexp,917,,,
0.7,400,unexp,374,,,
0.4,400,unexp,747,,,
0.7,400,unexp,222,,,
0.1,400,unexp,928,,,
0.1,400,unexp,736,,,
0.4,400,unexp,273,,,
0.7,400,unexp,610,,,
0.1,400,unexp,726,,,
0.4,400,unexp,374,,,
0.7,400,unexp,273,,,
0.1,400,unexp,658,,,
0.7,400,unexp,838,,,
0.4,400,unexp,624,,,
0.1,400,unexp,564,,,
0.7,400,unexp,959,,,
0.4,400,unexp,568,,,
0.7,400,unexp,393,,,
0.4,400,unexp,600,,,
0.1,400,unexp,298,,,
0.7,400,unexp,280,,,
0.1,400,unexp,293,,,
0.4,400,unexp,382,,,
0.1,400,unexp,999,,,
0.7,400,unexp,555,,,
0.4,400,unexp,729,,,
0.4,400,unexp,384,,,
0.7,400,unexp,729,,,
0.1,400,unexp,222,,,
0.1,400,unexp,458,,,
0.4,400,unexp,500,,,
0.7,400,unexp,109,,,
0.1,400,unexp,730,,,
0.4,400,unexp,384,,,
0.7,400,unexp,364,,,
0.4,400,unexp,193,,,
0.1,400,unexp,263,,,
0.7,400,unexp,292,,,
0.1,400,unexp,827,,,
0.7,400,unexp,298,,,
0.4,400,unexp,737,,,
0.4,400,unexp,800,,,
0.7,400,unexp,748,,,
0.1,400,unexp,282,,,
0.4,400,unexp,183,,,
0.7,400,unexp,787,,,
0.1,400,unexp,883,,,
0.7,400,unexp,848,,,
0.1,400,unexp,928,,,
0.4,400,unexp,444,,,
0.1,400,unexp,293,,,
0.4,400,unexp,889,,,
0.7,400,unexp,847,,,
0.1,400,unexp,283,,,
0.7,400,unexp,294,,,
0.4,400,unexp,409,,,
0.4,400,unexp,384,,,
0.1,400,unexp,755,,,
0.7,400,unexp,839,,,
0.7,400,unexp,377,,,
0.1,400,unexp,273,,,
0.4,400,unexp,227,,,
0.1,400,unexp,283,,,
0.4,400,unexp,837,,,
0.7,400,unexp,464,,,
